Table 37.,,,,,,,,,,,,,,
ALIENS DETERMINED INADMISSIBLE BY REGION AND COUNTRY OF NATIONALITY: FISCAL YEARS 2006 TO 2015,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Region and country of nationality,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,,,
Iran,681,577,581,654,764,504,474,532,757,745,,,,
Iraq,254,374,360,232,217,214,198,296,307,364,,,,
Ireland,762,683,536,456,320,244,255,282,222,234,,,,
Israel,883,816,807,873,694,496,460,397,352,387,,,,
Italy,"1,681","1,326","1,153","1,204","1,089","1,024","1,043","1,029","1,104","1,276",,,,
Jamaica,"1,490","1,315","1,584","1,367","1,229",945,834,769,960,"1,223",,,,
Japan,"1,106",850,881,671,645,723,538,619,595,624,,,,
Jordan,333,293,275,281,230,206,198,204,241,468,,,,
Kazakhstan,45,25,34,34,44,29,43,30,40,45,,,,
Kenya,175,142,133,129,161,113,92,86,74,104,,,,
Kiribati,12,36,99,68,41,58,41,33,29,42,,,,
"Korea, South","1,726","1,588","1,738","2,106","1,861","1,945","1,512","1,706","1,646","1,778",,,,
Kosovo,X,X,-,17,-,D,18,17,26,30,,,,
Kuwait,36,35,31,47,36,42,29,53,50,73,,,,
Kyrgyzstan,5,10,4,11,12,19,6,9,27,7,,,,
Laos,50,45,53,23,18,38,34,15,10,21,,,,
Latvia,64,60,179,354,310,218,139,144,157,147,,,,
Lebanon,413,432,346,296,247,209,141,185,186,218,,,,
Liberia,56,72,53,71,69,67,58,29,70,36,,,,
Libya,39,35,71,65,53,50,33,18,43,47,,,,
Lithuania,84,114,622,760,685,519,397,179,154,125,,,,
Luxembourg,7,11,D,D,D,6,4,D,D,D,,,,
Macedonia,77,48,98,66,56,64,53,56,68,66,,,,
Madagascar,31,20,18,8,11,41,9,5,10,20,,,,
Malawi,13,10,6,12,7,6,7,D,8,7,,,,
Malaysia,178,288,285,341,310,257,402,315,313,369,,,,
Maldives,D,23,74,125,61,58,92,12,54,10,,,,
Mali,70,51,48,38,38,42,32,26,35,40,,,,
Malta,56,30,26,10,9,16,9,7,6,6,,,,
Marshall Islands,9,8,14,32,9,3,15,7,9,5,,,,
Mauritania,22,19,31,20,24,14,22,14,20,18,,,,
Mauritius,50,44,103,170,277,252,65,40,56,32,,,,
Mexico,"90,209","87,632","79,686","75,151","75,464","67,410","58,659","56,187","63,396","74,151",,,,
"Micronesia, Federated States",36,33,28,27,16,14,26,12,15,17,,,,
Moldova,46,35,52,72,73,75,64,51,57,61,,,,
Mongolia,95,86,91,57,54,59,53,44,55,86,,,,
