Table 34.,,,,,,,,,,,,,,,,,,,,
ALIENS APPREHENDED BY REGION AND COUNTRY OF NATIONALITY: FISCAL YEARS 2006 TO 2015,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Estonia,13,13,34,32,22,35,30,18,16,12,,,,,,,,,,
Ethiopia,345,144,218,262,274,219,220,144,152,93,,,,,,,,,,
Fiji,54,45,128,101,99,87,79,67,35,22,,,,,,,,,,
France,75,69,124,136,151,145,131,106,107,40,,,,,,,,,,
Gabon,4,10,7,17,28,13,13,10,15,D,,,,,,,,,,
Gambia,71,87,126,131,130,148,119,100,69,33,,,,,,,,,,
Georgia,50,59,105,157,121,101,58,65,52,29,,,,,,,,,,
Germany,129,84,201,227,227,198,186,153,103,79,,,,,,,,,,
Ghana,251,239,414,422,414,435,340,272,212,138,,,,,,,,,,
Greece,36,16,61,58,53,48,34,29,35,13,,,,,,,,,,
Grenada,28,15,56,63,76,61,35,44,33,24,,,,,,,,,,
Guatemala,"25,150","23,908","33,691","35,000","39,050","41,708","57,486","73,208","97,151","66,982",,,,,,,,,,
Guinea,64,86,163,185,154,147,142,112,69,34,,,,,,,,,,
Guinea-Bissau,-,D,7,13,5,6,D,D,D,D,,,,,,,,,,
Guyana,243,156,508,492,428,411,360,292,248,196,,,,,,,,,,
Haiti,"1,215","1,004","2,299","2,220","1,768","1,351","1,492","1,992","1,810","1,124",,,,,,,,,,
Honduras,"33,374","28,258","33,766","32,897","32,501","31,189","50,771","64,157","106,928","42,433",,,,,,,,,,
Hong Kong,22,21,60,58,53,56,85,74,25,18,,,,,,,,,,
Hungary,47,44,80,95,69,106,111,88,76,54,,,,,,,,,,
Iceland,D,3,8,6,10,7,3,D,5,D,,,,,,,,,,
India,769,795,"1,218","1,155","2,175","3,859","1,566","1,791","2,106","2,967",,,,,,,,,,
Indonesia,488,536,631,371,486,327,219,126,102,52,,,,,,,,,,
Iran,215,128,239,291,297,305,301,257,223,154,,,,,,,,,,
Iraq,171,138,221,291,280,285,244,169,173,152,,,,,,,,,,
Ireland,52,27,94,94,72,88,89,70,47,29,,,,,,,,,,
Israel,267,226,298,345,311,254,192,213,303,235,,,,,,,,,,
Italy,90,60,202,205,174,149,153,138,116,86,,,,,,,,,,
